Car Make,Column,Count,Mean,Median,Mode,Std,-3σ,+3σ
Proton,ARF_num,3,5988.666666666667,6321.0,8564.0,2756.566040081995,-2281.0314535793195,14258.364786912654
Proton,COE_num,3,19081.333333333332,14835.0,29385.0,8969.062957373715,-7825.855538787811,45988.52220545447
Proton,Depreciation_num,1,4970.0,4970.0,4970.0,,,
Proton,Engine Cap_num,3,1332.0,1332.0,1332.0,0.0,1332.0,1332.0
Proton,Mileage_num,1,626945.2,626945.2,626945.2,,,
Proton,No. of Owners_num,3,2.3333333333333335,2.0,2.0,0.5773502691896258,0.6012825257644558,4.065384140902211
Proton,OMV_num,3,9252.0,9591.0,8564.0,595.8464567319336,7464.460629804199,11039.5393701958
Proton,Power_num,3,70.093,70.093,70.093,0.0,70.093,70.093
Proton,Price_num,1,14000.0,14000.0,14000.0,,,
Proton,Road Tax_num,3,517.0,586.0,586.0,228.4534963619511,-168.36048908585326,1202.3604890858533
Renault,ARF_num,32,11024.96875,9750.0,9750.0,5181.478139360365,-4519.465668081095,26569.403168081095
Renault,COE_num,32,49502.5,49000.5,55200.0,9011.2879642254,22468.6361073238,76536.36389267619
Renault,Engine Cap_num,32,1428.625,1461.0,1461.0,121.77603715758882,1063.2968885272335,1793.9531114727665
Renault,Mileage_num,9,6902414.666666667,5800013.0,13800015.2,7419973.118125617,-15357504.68771018,29162334.021043517
Renault,No. of Owners_num,32,1.46875,1.0,1.0,0.7177192819911804,-0.6844078459735412,3.621907845973541
Renault,OMV_num,32,19001.53125,19750.0,19750.0,1417.8307143223435,14748.03910703297,23255.02339296703
Renault,Power_num,32,84.13622500000001,81.0108,81.0108,6.2934636427471835,65.25583407175846,103.01661592824156
Renault,Price_num,15,52376.13333333333,51800.0,51800.0,14688.041437396161,8312.009021144848,96440.25764552181
Renault,Road Tax_num,32,908.5,1048.0,1048.0,220.07447419805047,248.27657740584857,1568.7234225941515
Rolls-Royce,ARF_num,1,22904.0,22904.0,22904.0,,,
Rolls-Royce,COE_num,1,3957.0,3957.0,3957.0,,,
Rolls-Royce,Engine Cap_num,1,6230.0,6230.0,6230.0,,,
Rolls-Royce,No. of Owners_num,1,1.0,1.0,1.0,,,
Rolls-Royce,OMV_num,1,22074.0,22074.0,22074.0,,,
Rolls-Royce,Power_num,1,206.0276,206.0276,206.0276,,,
Rolls-Royce,Price_num,1,380000.0,380000.0,380000.0,,,
Rolls-Royce,Road Tax_num,1,280.0,280.0,280.0,,,
SEAT,ARF_num,7,7887.714285714285,9062.0,6532.0,1621.5423433967342,3023.087255524083,12752.341315904487
SEAT,COE_num,7,40232.42857142857,42902.0,38504.0,10178.636350335979,9696.519520420636,70768.3376224365
SEAT,Engine Cap_num,7,1410.4285714285713,1422.0,1422.0,14.432107063270918,1367.1322502387586,1453.724892618384
SEAT,Mileage_num,2,2804497.7,2804497.7,8978.0,3953461.873621166,-9055887.920863498,14664883.3208635
SEAT,No. of Owners_num,7,1.0,1.0,1.0,0.0,1.0,1.0
SEAT,OMV_num,7,20430.714285714286,20369.0,21094.0,1409.3923885000602,16202.537120214107,24658.891451214466
SEAT,Power_num,7,77.19841428571428,66.088,66.088,13.857121227420528,35.627050603452695,118.76977796797587
SEAT,Price_num,2,66300.0,66300.0,75800.0,13435.028842544403,25994.91347236679,106605.08652763322
SEAT,Road Tax_num,7,844.5714285714286,1010.0,1010.0,206.32567875639162,225.5943923022537,1463.5484648406034
Skoda,ARF_num,31,23362.645161290322,20212.0,18870.0,4966.49692471724,8463.154387138602,38262.13593544204
