Unnamed: 0,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE,Car Make,Car Model Name,COE End Date (raw),COE End Date,Price_num,Depreciation_num,Mileage_num,Road Tax_num,OMV_num,ARF_num,Engine Cap_num,Power_num,No. of Owners_num,COE_num,Cluster
4448,Honda Civic 1.6A VTi (COE till 11/2022),N.A,N.A,,N.A.,"$1,036 /yr",N.A.,"1,595 cc","1,220 kg",2007.0,Auto,"$18,625 ","$20,488 ",92.0 kW (123 bhp),3,"$20,997 ",Honda,Civic 1.6A VTi,,2022-11-01,,,,1036.0,18625.0,20488.0,1595,92.0123,3.0,20997.0,
4449,Toyota Vios 1.5A E,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,085 kg",2018.0,Auto,"$13,781 ","$13,781 ",79.0 kW (105 bhp),1,"$28,457 ",Toyota,Vios 1.5A E,,,,,,682.0,13781.0,13781.0,1496,79.0105,1.0,28457.0,
4450,Toyota Vios 1.5A G,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,100 kg",2019.0,Auto,"$15,741 ","$15,741 ",79.0 kW (105 bhp),1,"$23,568 ",Toyota,Vios 1.5A G,,,,,,682.0,15741.0,15741.0,1496,79.0105,1.0,23568.0,
4451,Honda Civic 1.8A VTi-S (COE till 02/2026),"$50,888 ","$10,120 /yr",,"240,000 km (16k /yr)","$1,467 /yr",,"1,799 cc","1,219 kg",2005.0,Auto,"$19,697 ","$21,667 ",103.0 kW (138 bhp),2,"$56,436 ",Honda,Civic 1.8A VTi-S,,2026-02-01,50888.0,10120.0,24000016.0,1467.0,19697.0,21667.0,1799,103.0138,2.0,56436.0,2.0
4452,Toyota Corolla Altis 1.6A (COE till 08/2025),N.A,N.A,,N.A.,$816 /yr,N.A.,"1,598 cc","1,195 kg",2010.0,Auto,"$16,716 ","$16,716 ",80.0 kW (107 bhp),2,"$16,095 ",Toyota,Corolla Altis 1.6A,,2025-08-01,,,,816.0,16716.0,16716.0,1598,80.0107,2.0,16095.0,
4453,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,310 kg",2017.0,Auto,"$14,934 ","$9,934 ",88.0 kW (118 bhp),2,"$46,489 ",Mazda,3 1.5A Sunroof,,,,,,682.0,14934.0,9934.0,1496,88.0118,2.0,46489.0,
4454,Toyota Corolla Altis 1.6A (COE till 08/2029),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2009.0,Auto,"$17,853 ","$17,853 ",80.0 kW (107 bhp),3,"$29,328 ",Toyota,Corolla Altis 1.6A,,2029-08-01,,,,890.0,17853.0,17853.0,1598,80.0107,3.0,29328.0,
4455,Hyundai Avante 1.6A S Sunroof (COE till 05/2029),"$43,800 ","$5,260 /yr",,N.A.,$886 /yr,,"1,591 cc","1,264 kg",2009.0,Auto,"$11,714 ","$11,714 ",89.7 kW (120 bhp),6,"$27,886 ",Hyundai,Avante 1.6A S Sunroof,,2029-05-01,43800.0,5260.0,,886.0,11714.0,11714.0,1591,89.712,6.0,27886.0,
4456,Mitsubishi Attrage 1.2A Sports (OPC),N.A,N.A,,N.A.,$70 /yr,N.A.,"1,193 cc",940 kg,2018.0,Auto,"$13,507 ","$5,000 ",59.0 kW (79 bhp),1,"$6,568 ",Mitsubishi,Attrage 1.2A Sports (OPC),,,,,,70.0,13507.0,5000.0,1193,59.079,1.0,6568.0,
4457,Toyota Corolla Altis 1.6A Elegance,"$45,900 ",,,"60,000 km (9.3k /yr)",$742 /yr,,"1,598 cc","1,205 kg",2014.0,Auto,"$18,761 ","$13,761 ",90.0 kW (120 bhp),1,"$65,710 ",Toyota,Corolla Altis 1.6A Elegance,,,45900.0,,600009.3,742.0,18761.0,13761.0,1598,90.012,1.0,65710.0,0.0
4458,Mitsubishi Lancer 1.6A GLX Sports (COE till 03/2022),"$11,800 ","$10,530 /yr",,N.A.,"$1,028 /yr",,"1,584 cc","1,162 kg",2007.0,Auto,"$11,979 ","$13,177 ",79.0 kW (105 bhp),3,"$24,715 ",Mitsubishi,Lancer 1.6A GLX Sports,,2022-03-01,11800.0,10530.0,,1028.0,11979.0,13177.0,1584,79.0105,3.0,24715.0,
4459,Hyundai Avante 1.6A (COE till 03/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009.0,Auto,"$11,888 ","$11,888 ",89.7 kW (120 bhp),3,"$12,763 ",Hyundai,Avante 1.6A,,2024-03-01,,,,886.0,11888.0,11888.0,1591,89.712,3.0,12763.0,
4460,Skoda Octavia 1.4A TSI Ambition,"$97,988 ",,,"4,000 km",$624 /yr,,"1,395 cc","1,289 kg",2019.0,Auto,"$18,870 ","$18,870 ",110.0 kW (147 bhp),1,"$37,102 ",Skoda,Octavia 1.4A TSI Ambition,,,97988.0,,4000.0,624.0,18870.0,18870.0,1395,110.0147,1.0,37102.0,1.0
4461,Mitsubishi Lancer 1.6A GLX (COE till 05/2023),N.A,N.A,,N.A.,$954 /yr,N.A.,"1,584 cc","1,162 kg",2007.0,Auto,"$12,652 ","$12,652 ",79.0 kW (105 bhp),4,"$19,096 ",Mitsubishi,Lancer 1.6A GLX,,2023-05-01,,,,954.0,12652.0,12652.0,1584,79.0105,4.0,19096.0,
4462,Toyota Corolla Axio 1.5A X (COE till 10/2024),N.A,N.A,,N.A.,$818 /yr,N.A.,"1,496 cc","1,130 kg",2009.0,Auto,"$15,552 ","$15,552 ",81.0 kW (108 bhp),3,"$15,287 ",Toyota,Corolla Axio 1.5A X,,2024-10-01,,,,818.0,15552.0,15552.0,1496,81.0108,3.0,15287.0,
4463,Honda Civic 1.8A (COE till 04/2024),N.A,N.A,,N.A.,"$1,174 /yr",N.A.,"1,799 cc","1,219 kg",2008.0,Auto,"$26,671 ","$26,015 ",103.0 kW (138 bhp),4,"$17,706 ",Honda,Civic 1.8A,,2024-04-01,,,,1174.0,26671.0,26015.0,1799,103.0138,4.0,17706.0,
4464,Nissan Latio 1.5A Premium (COE till 10/2029),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,498 cc","1,110 kg",2009.0,Auto,"$17,643 ","$17,643 ",80.0 kW (107 bhp),4,"$30,574 ",Nissan,Latio 1.5A Premium,,2029-10-01,,,,821.0,17643.0,17643.0,1498,80.0107,4.0,30574.0,
4465,Kia Cerato Forte 1.6M EX (New 10-yr COE),"$46,800 ","$4,680 /yr",,N.A.,$738 /yr,N.A.,"1,591 cc","1,227 kg",2009.0,Manual,"$10,384 ","$10,384 ",92.7 kW (124 bhp),2,N.A.,Kia,Cerato Forte 1.6M EX,,2035-12-31,46800.0,4680.0,,738.0,10384.0,10384.0,1591,92.7124,2.0,,
4466,Toyota Corolla Ascent Hybrid 1.8A Sport,"$118,988 ",,,88 km,N.A.,,"1,798 cc",N.A.,2020.0,Auto,"$27,823 ","$20,953 ",90.0 kW (120 bhp),1,"$39,000 ",Toyota,Corolla Ascent Hybrid 1.8A Sport,,,118988.0,,88.0,,27823.0,20953.0,1798,90.012,1.0,39000.0,1.0
4467,Toyota Vios 1.5A J (COE till 02/2029),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,497 cc","1,095 kg",2009.0,Auto,"$11,696 ","$11,696 ",80.0 kW (107 bhp),5,"$25,727 ",Toyota,Vios 1.5A J,,2029-02-01,,,,821.0,11696.0,11696.0,1497,80.0107,5.0,25727.0,
4468,Toyota Corolla Ascent Hybrid 1.8A Sport,"$119,988 ",,,88 km,$974 /yr,,"1,797 cc","1,375 kg",2020.0,Auto,"$25,987 ","$18,382 ",90.0 kW (120 bhp),1,"$38,110 ",Toyota,Corolla Ascent Hybrid 1.8A Sport,,,119988.0,,88.0,974.0,25987.0,18382.0,1797,90.012,1.0,38110.0,1.0
4469,Toyota Corolla Altis 1.6A (COE till 10/2023),N.A,N.A,,N.A.,$965 /yr,N.A.,"1,598 cc","1,195 kg",2008.0,Auto,"$16,084 ","$16,084 ",80.0 kW (107 bhp),3,"$15,142 ",Toyota,Corolla Altis 1.6A,,2023-10-01,,,,965.0,16084.0,16084.0,1598,80.0107,3.0,15142.0,
4470,Mazda 3 1.5A Deluxe,"$52,500 ",,,"64,000 km (15.7k /yr)",$682 /yr,,"1,496 cc","1,310 kg",2016.0,Auto,"$14,777 ","$9,777 ",88.0 kW (118 bhp),3,"$50,951 ",Mazda,3 1.5A Deluxe,,,52500.0,,6400015.7,682.0,14777.0,9777.0,1496,88.0118,3.0,50951.0,0.0
4471,Nissan Sylphy 1.5A (New 5-yr COE),N.A,N.A,,N.A.,$752 /yr,N.A.,"1,498 cc","1,175 kg",2010.0,Auto,"$18,383 ","$18,383 ",80.0 kW (107 bhp),2,N.A.,Nissan,Sylphy 1.5A,,,,,,752.0,18383.0,18383.0,1498,80.0107,2.0,,
4472,Toyota Vios 1.5A E (COE till 07/2021),N.A,N.A,,N.A.,$958 /yr,N.A.,"1,497 cc","1,020 kg",2006.0,Auto,"$12,237 ","$13,461 ",80.0 kW (107 bhp),5,"$24,760 ",Toyota,Vios 1.5A E,,2021-07-01,,,,958.0,12237.0,13461.0,1497,80.0107,5.0,24760.0,
4473,Volkswagen Jetta 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2011.0,Auto,"$23,858 ","$23,858 ",118.0 kW (158 bhp),1,"$48,801 ",Volkswagen,Jetta 1.4A TSI,,,,,,620.0,23858.0,23858.0,1390,118.0158,1.0,48801.0,
