,Car Name,Price,Depreciation,Reg Date,Mileage,Road Tax,Dereg Value,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,COE
5418,Toyota Vios 1.5A E (COE till 03/2025),N.A,N.A,,N.A.,$752 /yr,N.A.,"1,497 cc","1,095 kg",2009,Auto,"$12,717 ","$12,717 ",80.0 kW (107 bhp),2,"$16,604 "
5419,Toyota Belta 1.3A (COE till 01/2027),N.A,N.A,,N.A.,$849 /yr,N.A.,"1,296 cc","1,030 kg",2006,Auto,"$13,627 ","$14,990 ",64.0 kW (85 bhp),1,"$50,645 "
5420,Kia Cerato K3 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2017,Auto,"$11,845 ","$11,845 ",95.3 kW (127 bhp),1,"$41,761 "
5421,Kia Cerato K3 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2017,Auto,"$11,708 ","$11,708 ",95.3 kW (127 bhp),1,"$44,002 "
5422,Hyundai Elantra 1.6A Elite,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,267 kg",2012,Auto,"$14,428 ","$14,428 ",95.6 kW (128 bhp),1,"$59,004 "
5423,Hyundai Elantra 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2018,Auto,"$11,819 ","$11,819 ",93.8 kW (125 bhp),1,"$36,426 "
5424,Kia Cerato Forte 1.6A SX (COE till 06/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,251 kg",2009,Auto,"$13,989 ","$13,989 ",92.7 kW (124 bhp),4,"$14,920 "
5425,Hyundai Elantra 1.6A Elite (New 10-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,267 kg",2011,Auto,"$13,932 ","$13,932 ",95.6 kW (128 bhp),2,N.A.
5426,Kia Cerato Forte 1.6A EX (COE till 04/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,251 kg",2009,Auto,"$11,168 ","$11,168 ",92.7 kW (124 bhp),2,"$13,088 "
5427,Kia Cerato K3 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2016,Auto,"$14,207 ","$14,207 ",95.3 kW (127 bhp),1,"$46,009 "
5428,Mitsubishi Lancer EX 1.5A GLS (COE till 04/2024),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,499 cc","1,313 kg",2009,Auto,"$17,926 ","$17,926 ",80.0 kW (107 bhp),3,"$13,088 "
5430,Volkswagen Jetta 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2013,Auto,"$20,834 ","$11,168 ",90.0 kW (120 bhp),2,"$69,903 "
5431,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2015,Auto,"$15,197 ","$10,197 ",88.0 kW (118 bhp),1,"$55,399 "
5432,Toyota Corolla Altis 1.6A Elegance (New 5-yr COE),N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,195 kg",2011,Auto,"$15,263 ","$15,263 ",90.0 kW (120 bhp),2,N.A.
5433,Toyota Vios 1.5A E (COE till 07/2021),N.A,N.A,,N.A.,"$1,026 /yr",N.A.,"1,497 cc","1,020 kg",2006,Auto,"$12,347 ","$13,582 ",80.0 kW (107 bhp),1,"$24,760 "
5434,Kia Cerato Forte 1.6A SX (COE till 09/2025),N.A,N.A,,N.A.,$812 /yr,N.A.,"1,591 cc","1,251 kg",2010,Auto,"$14,140 ","$14,140 ",92.7 kW (124 bhp),3,"$16,570 "
5436,Hyundai Elantra 1.6A (New 5-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,267 kg",2011,Auto,"$11,297 ","$11,297 ",95.6 kW (128 bhp),2,N.A.
5438,Honda Civic 1.6A VTi (COE till 01/2029),N.A,N.A,,N.A.,$888 /yr,N.A.,"1,595 cc","1,220 kg",2008,Auto,"$25,281 ","$25,281 ",92.0 kW (123 bhp),3,"$26,047 "
5439,Toyota Vios 1.5A G (New 5-yr COE),N.A,N.A,,N.A.,$752 /yr,N.A.,"1,497 cc","1,110 kg",2010,Auto,"$13,485 ","$13,485 ",80.0 kW (107 bhp),2,N.A.
5440,Honda Civic 1.8A VTi-S (COE till 10/2027),N.A,N.A,,N.A.,"$1,369 /yr",N.A.,"1,799 cc","1,219 kg",2007,Auto,"$20,502 ","$22,553 ",103.0 kW (138 bhp),1,"$50,451 "
5441,Toyota Vios 1.5A J (New 10-yr COE),N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,095 kg",2011,Auto,"$10,637 ","$10,637 ",80.0 kW (107 bhp),2,N.A.
5442,Hyundai Avante 1.6A S (COE till 09/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,432 ","$11,432 ",89.7 kW (120 bhp),3,"$14,743 "
5443,Renault Fluence Diesel 1.5A dCi Sunroof,N.A,N.A,,N.A.,"$1,048 /yr",N.A.,"1,461 cc","1,314 kg",2016,Auto,"$19,750 ","$9,750 ",81.0 kW (108 bhp),1,"$51,507 "
5444,Honda Civic 1.6A VTi (COE till 05/2025),N.A,N.A,,N.A.,$814 /yr,N.A.,"1,595 cc","1,220 kg",2008,Auto,"$25,281 ","$25,281 ",92.0 kW (123 bhp),2,"$16,438 "
5445,Honda Civic 1.6A VTi,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,597 cc","1,249 kg",2016,Auto,"$20,647 ","$20,906 ",92.0 kW (123 bhp),2,"$52,668 "
5446,Honda Civic 2.0A Si (COE till 02/2024),N.A,N.A,,N.A.,"$1,452 /yr",N.A.,"1,998 cc","1,312 kg",2008,Auto,"$28,518 ","$28,518 ",114.0 kW (152 bhp),4,"$15,967 "
5447,Toyota Allion 1.5A (COE till 09/2023),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,200 kg",2008,Auto,"$14,881 ","$14,881 ",81.0 kW (108 bhp),3,"$16,170 "
5448,Mitsubishi Lancer 1.6M GLX (COE till 05/2023),N.A,N.A,,N.A.,$954 /yr,N.A.,"1,584 cc","1,162 kg",2008,Auto,"$10,864 ","$10,864 ",79.0 kW (105 bhp),5,"$19,096 "
5449,Toyota Corolla Axio 1.5A X (COE till 01/2023),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,130 kg",2007,Auto,"$12,760 ","$14,036 ",81.0 kW (108 bhp),4,"$21,485 "
5450,Toyota Corolla Altis 1.6A (COE till 03/2024),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2009,Auto,"$16,990 ","$16,990 ",80.0 kW (107 bhp),3,"$12,763 "
5452,Volkswagen Jetta 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2014,Auto,"$18,703 ","$8,703 ",90.0 kW (120 bhp),1,"$63,190 "
5453,Honda Civic 1.6A VTi,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,597 cc","1,249 kg",2017,Auto,"$19,726 ","$19,726 ",92.0 kW (123 bhp),1,"$46,778 "
5454,Volkswagen Jetta 1.4A TSI Highline,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2015,Auto,"$21,889 ","$22,645 ",90.0 kW (120 bhp),1,"$43,000 "
5456,Volkswagen Jetta GP 1.4A TSI Highline,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2016,Auto,"$20,851 ","$21,192 ",90.0 kW (120 bhp),1,"$55,201 "
5458,Subaru Impreza 1.6M (COE till 05/2023),N.A,N.A,,N.A.,$965 /yr,N.A.,"1,597 cc","1,260 kg",2007,Manual,"$10,034 ","$5,260 ",70.0 kW (93 bhp),4,"$19,096 "
5459,Honda City 1.5A SV,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,096 kg",2015,Auto,"$17,285 ","$7,285 ",88.0 kW (118 bhp),1,"$66,000 "
5460,Toyota Corolla Altis 1.6A (COE till 07/2021),N.A,N.A,,N.A.,"$1,113 /yr",N.A.,"1,598 cc","1,115 kg",2006,Auto,"$15,498 ","$17,048 ",81.0 kW (108 bhp),2,"$24,760 "
5461,Proton Saga 1.3A M-Line (COE till 01/2024),N.A,N.A,,N.A.,$703 /yr,N.A.,"1,332 cc","1,065 kg",2008,Auto,"$9,601 ","$6,321 ",70.0 kW (93 bhp),3,"$13,024 "
5462,Hyundai Avante 1.6A (COE till 03/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,974 ","$11,974 ",89.7 kW (120 bhp),2,"$12,763 "
5464,Honda Civic 1.8A VTi-S (COE till 12/2028),N.A,N.A,,N.A.,"$1,271 /yr",N.A.,"1,799 cc","1,219 kg",2008,Auto,"$25,109 ","$25,109 ",103.0 kW (138 bhp),2,"$31,553 "
5466,Toyota Corolla Altis 1.6A Classic,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2016,Auto,"$17,982 ","$17,982 ",90.0 kW (120 bhp),1,"$47,889 "
5467,Mitsubishi Lancer 1.6M GLX (COE till 07/2029),N.A,N.A,,N.A.,$881 /yr,N.A.,"1,584 cc","1,132 kg",2009,Manual,"$12,247 ","$12,247 ",79.0 kW (105 bhp),3,"$30,512 "
5468,Kia Cerato K3 1.6A EX (OPC),N.A,N.A,,N.A.,$238 /yr,N.A.,"1,591 cc","1,295 kg",2014,Auto,"$14,444 ","$9,444 ",95.3 kW (127 bhp),1,"$45,002 "
5470,Volkswagen Jetta 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2014,Auto,"$18,703 ","$8,703 ",90.0 kW (120 bhp),2,"$61,899 "
5471,Mitsubishi Lancer EX 1.5A (New 10-yr COE),N.A,N.A,,N.A.,$684 /yr,N.A.,"1,499 cc","1,313 kg",2011,Auto,"$16,680 ","$16,680 ",80.0 kW (107 bhp),2,N.A.
5472,Nissan Sylphy 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2014,Auto,"$15,243 ","$10,243 ",85.0 kW (113 bhp),1,"$63,190 "
5474,Toyota Vios 1.5A E,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,085 kg",2017,Auto,"$13,876 ","$13,876 ",79.0 kW (105 bhp),2,"$39,175 "
5476,Suzuki SX4 1.6A (COE till 08/2023),N.A,N.A,,N.A.,$957 /yr,N.A.,"1,586 cc","1,205 kg",2008,Auto,"$12,210 ","$12,210 ",75.0 kW (100 bhp),2,"$17,099 "
5477,Volkswagen Jetta Sport 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2012,Auto,"$24,284 ","$24,284 ",90.0 kW (120 bhp),1,"$57,009 "
5479,Mitsubishi Lancer 1.6M GLX (COE till 05/2023),N.A,N.A,,N.A.,$954 /yr,N.A.,"1,584 cc","1,162 kg",2008,Manual,"$10,864 ","$10,864 ",79.0 kW (105 bhp),5,"$19,096 "
5480,Toyota Corolla Altis 1.6A (COE till 11/2021),N.A,N.A,,N.A.,"$1,113 /yr",N.A.,"1,598 cc","1,115 kg",2006,Auto,"$15,498 ","$17,048 ",81.0 kW (108 bhp),4,"$25,821 "
5481,Kia Cerato Forte 1.6A EX (New 5-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,261 kg",2010,Auto,"$10,932 ","$10,932 ",91.2 kW (122 bhp),2,N.A.
5482,Honda Civic 1.6A VTi,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,597 cc","1,249 kg",2018,Auto,"$19,890 ","$19,890 ",92.0 kW (123 bhp),1,"$38,510 "
5483,Hyundai Avante 1.6A S (COE till 04/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,465 ","$11,465 ",89.7 kW (120 bhp),4,"$13,088 "
5485,Toyota Corolla Altis 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,195 kg",2013,Auto,"$15,065 ","$15,065 ",90.0 kW (120 bhp),2,"$64,839 "
5488,Toyota Corolla Altis 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2015,Auto,"$19,589 ","$19,589 ",90.0 kW (120 bhp),1,"$47,889 "
5489,Kia Cerato K3 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2017,Auto,"$12,784 ","$12,784 ",95.3 kW (127 bhp),1,"$47,112 "
5490,Hyundai Avante 1.6A (COE till 03/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,943 ","$11,943 ",89.7 kW (120 bhp),3,"$12,763 "
5491,Mitsubishi Lancer 1.6M GLX (COE till 11/2021),N.A,N.A,,N.A.,"$1,101 /yr",N.A.,"1,584 cc","1,162 kg",2006,Manual,"$11,421 ","$12,564 ",79.0 kW (105 bhp),3,"$25,821 "
5492,Toyota Corolla Altis 1.6A (COE till 04/2023),N.A,N.A,,N.A.,$965 /yr,N.A.,"1,598 cc","1,195 kg",2008,Auto,"$16,994 ","$18,694 ",80.0 kW (107 bhp),3,"$19,328 "
5493,Mitsubishi Lancer EX 2.0A GT (COE till 07/2022),N.A,N.A,,N.A.,"$1,694 /yr",N.A.,"1,998 cc","1,427 kg",2007,Auto,"$18,927 ","$20,820 ",114.0 kW (152 bhp),2,"$26,237 "
5494,Mitsubishi Attrage 1.2A,N.A,N.A,,N.A.,$506 /yr,N.A.,"1,193 cc",940 kg,2016,Auto,"$13,459 ","$5,000 ",57.0 kW (76 bhp),1,"$46,651 "
5495,Mitsubishi Lancer EX 1.5A GLS (COE till 03/2024),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,499 cc","1,313 kg",2009,Auto,"$20,676 ","$20,676 ",80.0 kW (107 bhp),3,"$12,763 "
5496,Hyundai Avante 1.6A S (COE till 02/2024),N.A,N.A,,N.A.,$886 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$11,888 ","$11,888 ",89.7 kW (120 bhp),5,"$12,864 "
5497,Toyota Allion 1.5A (COE till 03/2029),N.A,N.A,,N.A.,$818 /yr,N.A.,"1,496 cc","1,200 kg",2008,Auto,"$18,538 ","$18,538 ",81.0 kW (108 bhp),4,"$25,525 "
5498,Mazda 3 1.6A Luxury (COE till 06/2023),N.A,N.A,,N.A.,$965 /yr,N.A.,"1,598 cc","1,235 kg",2008,Auto,"$16,265 ","$16,265 ",79.0 kW (105 bhp),3,"$19,107 "
5499,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2016,Auto,"$16,296 ","$11,296 ",88.0 kW (118 bhp),2,"$48,023 "
5501,Toyota Vios 1.5A E (COE till 03/2029),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,497 cc","1,095 kg",2009,Auto,"$12,104 ","$12,104 ",80.0 kW (107 bhp),2,"$25,525 "
5504,Toyota Corolla Altis 1.6A (COE till 04/2022),N.A,N.A,,N.A.,"$1,039 /yr",N.A.,"1,598 cc","1,115 kg",2007,Auto,"$15,245 ","$16,770 ",81.0 kW (108 bhp),4,"$25,115 "
5505,Honda City 1.5A SV,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,096 kg",2017,Auto,"$17,683 ","$17,683 ",88.0 kW (118 bhp),1,"$42,902 "
5507,Hyundai Elantra 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2017,Auto,"$11,981 ","$11,981 ",93.8 kW (125 bhp),1,"$46,791 "
5509,Nissan Sylphy 1.5A (COE till 05/2025),N.A,N.A,,N.A.,$752 /yr,N.A.,"1,498 cc","1,175 kg",2010,Auto,"$17,194 ","$17,194 ",80.0 kW (107 bhp),2,"$16,438 "
5510,Kia Cerato Forte 1.6A SX (New 10-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,251 kg",2010,Auto,"$12,707 ","$12,707 ",92.7 kW (124 bhp),3,N.A.
5511,Hyundai Elantra 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2016,Auto,"$13,007 ","$13,007 ",93.8 kW (125 bhp),2,"$47,889 "
5513,Toyota Corolla Axio 1.5A X (COE till 05/2023),N.A,N.A,,N.A.,$887 /yr,N.A.,"1,496 cc","1,130 kg",2008,Auto,"$13,192 ","$13,192 ",81.0 kW (108 bhp),2,"$19,096 "
5514,Toyota Vios 1.5A J (COE till 12/2024),N.A,N.A,,N.A.,$821 /yr,N.A.,"1,497 cc","1,095 kg",2009,Auto,"$12,288 ","$12,288 ",80.0 kW (107 bhp),2,"$15,988 "
5515,Hyundai Elantra 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2017,Auto,"$12,643 ","$12,643 ",93.8 kW (125 bhp),1,"$44,002 "
5516,Toyota Vios 1.5A E (New 10-yr COE),N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,095 kg",2011,Auto,"$11,539 ","$11,539 ",80.0 kW (107 bhp),1,N.A.
5517,Hyundai Elantra 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2016,Auto,"$12,975 ","$12,975 ",93.8 kW (125 bhp),1,"$53,334 "
5519,Mitsubishi Lancer 1.6A GLX (COE till 12/2022),N.A,N.A,,N.A.,$954 /yr,N.A.,"1,584 cc","1,162 kg",2007,Auto,"$11,371 ","$12,509 ",79.0 kW (105 bhp),2,"$21,349 "
5520,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2015,Auto,"$19,589 ","$19,589 ",90.0 kW (120 bhp),1,"$46,009 "
5521,Mitsubishi Lancer 1.6M GLX (COE till 12/2021),N.A,N.A,,N.A.,"$1,101 /yr",N.A.,"1,584 cc","1,162 kg",2006,Manual,"$10,457 ","$7,482 ",79.0 kW (105 bhp),2,"$25,636 "
5522,Hyundai Avante 1.6A GLS Elite,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$18,074 ","$18,074 ",93.8 kW (125 bhp),1,"$30,009 "
5523,Hyundai Avante 1.6A GLS,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$12,556 ","$12,556 ",93.8 kW (125 bhp),1,"$26,659 "
5524,Mazda 2 1.5A,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,079 kg",2016,Auto,"$15,224 ","$10,224 ",85.0 kW (113 bhp),3,"$53,334 "
5525,Mitsubishi Lancer EX 1.5A GLS Sports (COE till 11/2022),N.A,N.A,,N.A.,$958 /yr,N.A.,"1,499 cc","1,313 kg",2007,Auto,"$15,821 ","$17,404 ",80.0 kW (107 bhp),2,"$20,997 "
5526,Toyota Corona 1.6A GLI (COE till 04/2029),N.A,N.A,,N.A.,"$1,104 /yr",N.A.,"1,587 cc",N.A.,1998,Auto,"$22,448 ","$31,428 ",,More than 6,"$26,175 "
5527,Mitsubishi Lancer 1.6A GLX (COE till 06/2022),N.A,N.A,,N.A.,"$1,028 /yr",N.A.,"1,584 cc","1,162 kg",2007,Auto,"$11,884 ","$13,073 ",79.0 kW (105 bhp),3,"$25,313 "
5528,Toyota Corolla Altis 1.6A (COE till 11/2024),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2009,Auto,"$17,853 ","$17,853 ",80.0 kW (107 bhp),3,"$16,208 "
5529,Toyota Vios 1.5A E (COE till 05/2021),N.A,N.A,,N.A.,"$1,026 /yr",N.A.,"1,497 cc","1,020 kg",2006,Auto,"$12,707 ","$12,787 ",80.0 kW (107 bhp),2,"$22,789 "
5530,Nissan Sunny 1.6A LE (COE till 01/2021),N.A,N.A,21-Jan-06,N.A.,"$1,113 /yr",N.A.,"1,597 cc","1,110 kg",2005,Auto,"$11,875 ","$13,063 ",81.0 kW (108 bhp),2,"$28,317 "
5532,Hyundai Avante 1.6A GLS S,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$14,881 ","$14,881 ",93.8 kW (125 bhp),1,"$31,783 "
5533,Chevrolet Cruze 1.6A (OPC) (COE till 04/2024),N.A,N.A,,N.A.,$390 /yr,N.A.,"1,598 cc","1,388 kg",2009,Auto,"$12,599 ","$12,599 ",80.0 kW (107 bhp),2,"$13,088 "
5534,Toyota Corolla Altis 1.6A (COE till 10/2025),N.A,N.A,,N.A.,$816 /yr,N.A.,"1,598 cc","1,195 kg",2010,Auto,"$16,716 ","$16,716 ",80.0 kW (107 bhp),4,"$17,600 "
5535,Toyota Corolla Altis 1.6A Elegance,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,205 kg",2015,Auto,"$19,589 ","$19,589 ",90.0 kW (120 bhp),1,"$58,700 "
5536,Toyota Corolla Axio 1.5A G,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,090 kg",2015,Auto,"$16,911 ","$6,911 ",80.0 kW (107 bhp),1,"$59,200 "
5537,Mazda 3 Mild Hybrid 1.5A Astina,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,397 kg",2019,Auto,"$25,755 ","$18,057 ",88.0 kW (118 bhp),1,"$26,667 "
5538,Toyota Corolla Altis 1.6A,N.A,N.A,,N.A.,$742 /yr,N.A.,"1,598 cc","1,195 kg",2012,Auto,"$15,045 ","$15,045 ",90.0 kW (120 bhp),3,"$56,501 "
5539,Mitsubishi Attrage 1.2A Sports,N.A,N.A,,N.A.,$506 /yr,N.A.,"1,193 cc",940 kg,2018,Auto,"$13,465 ","$5,000 ",59.0 kW (79 bhp),1,"$31,997 "
5541,Mitsubishi Lancer EX 1.5A GLS (COE till 12/2023),N.A,N.A,,N.A.,$889 /yr,N.A.,"1,499 cc","1,313 kg",2008,Auto,"$20,238 ","$20,238 ",80.0 kW (107 bhp),6,"$13,786 "
5542,Hyundai Elantra 1.6A (New 5-yr COE),N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,267 kg",2011,Auto,"$13,889 ","$13,889 ",95.6 kW (128 bhp),2,N.A.
5544,Honda Civic 1.6A VTi (COE till 05/2023),N.A,N.A,,N.A.,$962 /yr,N.A.,"1,595 cc","1,220 kg",2008,Auto,"$19,199 ","$19,199 ",92.0 kW (123 bhp),5,"$19,096 "
5545,Kia Cerato K3 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2016,Auto,"$14,327 ","$14,327 ",95.3 kW (127 bhp),1,"$52,503 "
5546,Hyundai Avante 1.6A (COE till 04/2025),N.A,N.A,,N.A.,$812 /yr,N.A.,"1,591 cc","1,264 kg",2009,Auto,"$10,140 ","$10,140 ",89.7 kW (120 bhp),6,"$16,438 "
5547,Honda Civic 1.8A (COE till 01/2026),N.A,N.A,,N.A.,"$1,467 /yr",N.A.,"1,799 cc","1,219 kg",2005,Auto,"$21,751 ","$23,927 ",103.0 kW (138 bhp),2,"$58,615 "
5548,Volkswagen Jetta Sport 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2013,Auto,"$18,600 ","$8,600 ",90.0 kW (120 bhp),1,"$69,903 "
5549,Hyundai Avante 1.6A GLS,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,345 kg",2019,Auto,"$12,771 ","$12,771 ",93.8 kW (125 bhp),1,"$28,589 "
5551,Kia Cerato Forte 1.6A EX (COE till 08/2025),N.A,N.A,,N.A.,$812 /yr,N.A.,"1,591 cc","1,251 kg",2010,Auto,"$10,576 ","$10,576 ",92.7 kW (124 bhp),2,"$16,095 "
5552,Toyota Vios 1.5A E,N.A,N.A,,N.A.,$684 /yr,N.A.,"1,497 cc","1,045 kg",2015,Auto,"$13,764 ","$13,764 ",80.0 kW (107 bhp),4,"$45,504 "
5553,Volkswagen Jetta GP 1.4A TSI,N.A,N.A,,N.A.,$620 /yr,N.A.,"1,390 cc","1,417 kg",2015,Auto,"$17,523 ","$17,523 ",90.0 kW (120 bhp),2,"$45,002 "
5554,Toyota Vios 1.5M E (COE till 09/2027),N.A,N.A,,N.A.,$958 /yr,N.A.,"1,497 cc","1,075 kg",2007,Manual,"$11,855 ","$13,041 ",80.0 kW (107 bhp),2,"$44,081 "
5555,Hyundai Avante 1.6M (COE till 12/2023),N.A,N.A,,N.A.,$959 /yr,N.A.,"1,591 cc","1,264 kg",2008,Manual,"$9,638 ","$2,729 ",89.7 kW (120 bhp),5,"$13,786 "
5557,Toyota Corona 1.6A GLI (COE till 04/2025),N.A,N.A,,N.A.,"$1,104 /yr",N.A.,"1,587 cc",N.A.,1993,Auto,"$21,573 ","$32,360 ",,More than 6,"$16,438 "
5558,Kia Cerato 1.6A LX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018,Auto,"$11,854 ","$11,854 ",93.8 kW (125 bhp),1,"$25,920 "
5561,Honda Civic 1.6A VTi (COE till 01/2023),N.A,N.A,,N.A.,$962 /yr,N.A.,"1,595 cc","1,220 kg",2008,Auto,"$19,551 ","$21,507 ",92.0 kW (123 bhp),3,"$21,485 "
5562,Kia Cerato K3 1.6A,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,295 kg",2014,Auto,"$13,880 ","$8,880 ",95.3 kW (127 bhp),1,"$65,889 "
5563,Toyota Corolla Altis 1.6A (New 10-yr COE),N.A,N.A,,N.A.,$816 /yr,N.A.,"1,598 cc","1,195 kg",2010,Auto,"$16,286 ","$16,286 ",90.0 kW (120 bhp),1,N.A.
5565,Mazda 3 1.5A Sunroof,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,321 kg",2015,Auto,"$15,062 ","$10,062 ",88.0 kW (118 bhp),1,"$57,089 "
5566,Mazda 3 1.5A,N.A,N.A,,N.A.,$682 /yr,N.A.,"1,496 cc","1,339 kg",2014,Auto,"$17,642 ","$7,642 ",88.0 kW (118 bhp),1,"$64,900 "
5569,Hyundai Avante 1.6A (COE till 12/2023),N.A,N.A,,N.A.,$959 /yr,N.A.,"1,591 cc","1,264 kg",2008,Auto,"$12,165 ","$12,165 ",89.7 kW (120 bhp),3,"$13,786 "
5570,Honda Civic 1.8A VTi-S (COE till 09/2022),N.A,N.A,,N.A.,"$1,369 /yr",N.A.,"1,799 cc","1,219 kg",2007,Auto,"$20,446 ","$22,491 ",103.0 kW (138 bhp),4,"$25,178 "
5571,Toyota Corolla Altis 1.6A (COE till 06/2029),N.A,N.A,,N.A.,$890 /yr,N.A.,"1,598 cc","1,195 kg",2009,Auto,"$17,500 ","$17,500 ",80.0 kW (107 bhp),3,"$29,839 "
5572,Kia Cerato K3 1.6A EX,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,287 kg",2018,Auto,"$13,882 ","$13,882 ",93.8 kW (125 bhp),1,"$24,193 "
5573,Hyundai Elantra 1.6A GLS,N.A,N.A,,N.A.,$738 /yr,N.A.,"1,591 cc","1,292 kg",2015,Auto,"$12,773 ","$12,773 ",97.0 kW (130 bhp),2,"$51,301 "
